metodo;sampling;eta;max_depth;gamma;colsample_bytree;min_child_weight;subsample;nrounds;MCC;logLoss;AUC;prAUC;Accuracy;Kappa;F1;Sensitivity;Specificity;Pos_Pred_Value;Neg_Pred_Value;Precision;Recall;Detection_Rate;Balanced_Accuracy
xgbTree;smote;0,4;3;0;0,8;1;0,50;150;0,21713930820400784;0,413668594666368;0,706649204569318;0,594589359078569;0,838805048402813;0,217024115572488629;0,908768548540517;0,910799183446474;0,302900802201043318;0,906761093381872;0,313955648640226;0,906761093381872;0,910799183446474;0,802931148363882;0,606849992823759
xgbTree;smote;0,4;3;0;0,8;1;0,75;150;0,21204741349810410;0,406019968536367;0,710446160153845;0,597476235040012;0,843657263551220;0,211451415831174105;0,912010321076769;0,919154821480870;0,281677485010795814;0,904991236855708;0,319001107278482;0,904991236855708;0,919154821480870;0,810297278065742;0,600416153245833
xgbTree;smote;0,4;3;0;0,8;1;1,00;150;0,21066221142585342;0,400649301674570;0,714415864152263;0,599896125446104;0,848760412625772;0,209070491291828142;0,915326545856213;0,927310452123396;0,264058331250717648;0,903653081122785;0,328294525397399;0,903653081122785;0,927310452123396;0,817486997568243;0,595684391687057
xgbTree;rose;0,3;1;0;0,6;1;0,50;50;0,23944770919101838;0,463205133316932;0,715448080629164;0,578939296191158;0,795917633653006;0,229929824523927101;0,879168300386002;0,842501873684340;0,449152206559451372;0,919279348914563;0,277432687654145;0,919279348914563;0,842501873684340;0,742722710485458;0,645827040121896
xgbTree;rose;0,3;1;0;0,6;1;0,75;50;0,23970341143445023;0,469080907414302;0,713365568676122;0,574727586357261;0,793277863475176;0,229284198528310140;0,877290392596564;0,838623228172406;0,455731921207331747;0,919834793885870;0,275499654778281;0,919834793885870;0,838623228172406;0,739303512024471;0,647177574689869
xgbTree;rose;0,3;1;0;0,6;1;1,00;50;0,24583358094251415;0,471098503633315;0,714941996753681;0,581898014543292;0,787545929263652;0,232677895058758938;0,873054701986178;0,828927340161908;0,479509538379792544;0,922226137654158;0,273780030976557;0,922226137654158;0,828927340161908;0,730755855634620;0,654218439270850
xgbTree;rose;0,3;1;0;0,8;1;0,50;50;0,24213759455776979;0,464823033684420;0,715905289913953;0,581351694547177;0,789984394277554;0,230424686300120141;0,874902737933939;0,833318980583983;0,467409879028172714;0,920930429473612;0,274098349275927;0,920930429473612;0,833318980583983;0,734627321583310;0,650364429806078
xgbTree;rose;0,3;1;0;0,8;1;0,75;50;0,24552722762687643;0,469141929833893;0,713771920677256;0,580431669411191;0,789129664991069;0,232938911725040360;0,874215256175051;0,831237405005027;0,475689908657602245;0,921898951713819;0,274526526250814;0,921898951713819;0,831237405005027;0,732792178018763;0,653463656831315
xgbTree;rose;0,3;1;0;0,8;1;1,00;50;0,24518670581793195;0,470742910651973;0,714396330002514;0,573453517382447;0,788451017253158;0,232427668633358814;0,873734295654272;0,830353401689014;0,476537364376690031;0,921938534676761;0,273982611376441;0,921938534676761;0,830353401689014;0,732012983552883;0,653445383032852
xgbTree;rose;0,4;1;0;0,6;1;0,50;50;0,23451587122360601;0,445341273559488;0,716715545157095;0,583998638229481;0,806299918596603;0,228737143220759664;0,886546619840403;0,858756081774241;0,415829680312865158;0,916262828711326;0,284131084159636;0,916262828711326;0,858756081774241;0,757051740275759;0,637292881043553
