metodo;sampling;mtry;splitrule;min.node.size;MCC;logLoss;AUC;prAUC;Accuracy;Kappa;F1;Sensitivity;Specificity;Pos_Pred_Value;Neg_Pred_Value;Precision;Recall;Detection_Rate;Balanced_Accuracy
ranger;null;1;gini;1;0,00000000000000000;0,338037834302171;0,715943580399433;0,603122191603520;0,881567703965070;0,000000000000000000;0,937056584941694;1,000000000000000;0,000000000000000000;0,881567703965070;NA;0,881567703965070;1,000000000000000;0,881567703965070;0,500000000000000
ranger;null;1;hellinger;1;0,00000000000000000;0,338603560102255;0,714765091112448;0,602405646298094;0,881567703965070;0,000000000000000000;0,937056584941694;1,000000000000000;0,000000000000000000;0,881567703965070;NA;0,881567703965070;1,000000000000000;0,881567703965070;0,500000000000000
ranger;null;2;gini;1;0,00611518560196581;0,328838717178647;0,725539750324831;0,608140930481081;0,881592839066239;0,000373605670241217;0,937069103466152;1,000000000000000;0,000212089077412513;0,881589863039931;1,000000000000000;0,881589863039931;1,000000000000000;0,881567703965070;0,500106044538706
ranger;null;2;hellinger;1;0,00000000000000000;0,328693031949611;0,726012544024080;0,608066744429485;0,881567703965070;0,000000000000000000;0,937056584941694;1,000000000000000;0,000000000000000000;0,881567703965070;NA;0,881567703965070;1,000000000000000;0,881567703965070;0,500000000000000
ranger;null;3;gini;1;0,03665854926686467;0,329175428686425;0,721966886582200;0,604376819069861;0,881190582656127;0,007269968567355398;0,936801101804436;0,998859297965150;0,005306504740483572;0,882003350720586;0,457956709956707;0,882003350720586;0,998859297965150;0,880562100860089;0,502082901352817
ranger;null;3;hellinger;1;0,03190853234376127;0,328841659735050;0,722149458856074;0,604894586183217;0,881240865497902;0,005768591736766695;0,936837993108449;0,999058915027292;0,004245383910499310;0,881913232408304;0,455603174603157;0,881913232408304;0,999058915027292;0,880738071845557;0,501652149468896
ranger;null;4;gini;1;0,07627178334414719;0,334372506131755;0,711182411685823;0,596656784630374;0,880059259814024;0,033918812836499466;0,935999820465012;0,994895430462739;0,025259989237942780;0,883687773844032;0,405715778474398;0,883687773844032;0,994895430462739;0,877067658280788;0,510077709850341
ranger;null;4;hellinger;1;0,07280223073844763;0,333691130823701;0,711587131189891;0,597309783144793;0,880587194886860;0,029011105540246638;0,936333590988140;0,996064618435818;0,021014830475084036;0,883361499149725;0,429068826999863;0,883361499149725;0,996064618435818;0,878098374366532;0,508539724455451
ranger;null;5;gini;1;0,09764129112707462;0,343265748201382;0,697745269519050;0,587814303993961;0,877344087513397;0,059503723056821917;0,934262532948700;0,988707208019845;0,048396160782433077;0,885502393498649;0,372127438927977;0,885502393498649;0,988707208019845;0,871612314449734;0,518551684401139
ranger;null;5;hellinger;1;0,09615616965451659;0,341937502047928;0,698570079666954;0,589211021463646;0,878399938703487;0,054770925718189777;0,934909113407463;0,990617831376013;0,043090331484871201;0,885134307238362;0,390705616635626;0,885134307238362;0,990617831376013;0,873296628477898;0,516854081430442
