id_grid;fila;risco_fila;testes;positivos;total_users;total_risco2;total_risco
5b4a496e-7b34-49cd-abf7-6bf2876d6652;272;95;30;7;302;0.34;0.35
5b7c3bbb-d305-45a0-9eb1-8696b8fdaaa7;31;7;1;1;32;0.25;0.23
5bd4a7bb-e030-46a1-b217-6b1bd7b76cfe;56;24;9;2;65;0.4;0.43
5bee087c-1b13-490b-84a7-8c1d4994f815;1;0;2;1;3;0.33;0
5c1522c0-477e-4478-94c3-b4b401f333df;74;37;17;1;91;0.42;0.5
5c756a88-3cfa-4e11-8d76-e4a624f9c5e0;46;35;10;2;56;0.66;0.76
5c798276-ee68-4968-903e-15bda1001edc;41;26;5;1;46;0.59;0.63
5c88f3a5-d1d7-4219-9222-8d49f5d60139;40;17;9;2;49;0.39;0.43
5cb58fab-37c0-47be-bf99-08c233747dfe;56;23;11;2;67;0.37;0.41
5ccce4e7-a4d9-4d7d-a3e6-52fb5dd03b75;51;22;8;1;59;0.39;0.43
5cd73d1b-43db-4e6f-9d8a-b5947f2ce81a;50;17;13;1;63;0.29;0.34
5cdf7f7d-bb46-485b-b501-f9c56f2d0fd5;38;12;13;3;51;0.29;0.32
5ce4af56-8801-4ae1-b532-3c6d6ad5276c;36;11;26;1;62;0.19;0.31
5ce4dbc1-f13b-4238-98b3-ed6e1ae44004;94;20;13;1;107;0.2;0.21
5d05ca71-bcd7-405b-ae2a-40e5f3854ed9;118;48;31;11;149;0.4;0.41
5d143549-912b-4f02-a8a2-928bc3b5ddd5;15;6;7;2;22;0.36;0.4
5d379e3b-181b-47a1-be99-7c85ba52504d;30;14;9;1;39;0.38;0.47
5d4910da-44be-4dc5-8c3a-28c9ea7f974d;201;60;47;10;248;0.28;0.3
5d5b8a81-1863-4412-85cc-e9ec3ac07c72;24;5;12;5;36;0.28;0.21
5d7eb2fd-2c79-4487-8315-58f55a298c0b;107;34;13;4;120;0.32;0.32
5d831f5d-9216-426a-996e-d59420212a1a;34;17;5;2;39;0.49;0.5
5d8fc243-74d4-4a2a-8fc8-ad2149a2b717;754;161;122;4;876;0.19;0.21
5da5243b-2207-492f-928b-2244d32cfcd6;75;29;13;4;88;0.38;0.39
5dd0201f-4e2e-4064-9e3a-c1ee1aaa938c;17;2;5;2;22;0.18;0.12
5dd3d9d6-a37e-49b8-bc21-8fbfb8178d01;94;23;4;1;98;0.24;0.24
5e07f18e-7ab5-4c1f-902b-4ede96e557db;9;4;4;3;13;0.54;0.44
5e14c36b-bb22-473c-b623-78b274d893db;39;18;2;1;41;0.46;0.46
5e26a56f-18b0-43d0-8509-92634e071b8a;48;13;2;1;50;0.28;0.27
5e2efd02-1b8d-425f-a7a2-e1dc5bd564b2;56;34;6;3;62;0.6;0.61
5e303122-9b61-4dd8-b886-f67595211db0;57;25;11;3;68;0.41;0.44
5e3175bf-b8fc-4a5b-9135-e7b8f53107a4;59;24;16;6;75;0.4;0.41
